Name | Total rule apps | Nodes | Branches | Overall time | Automode time | Closed | Time per step | Memory
examples/./performance-test/AccessChain1(AccessChain1__foo_05()).JML_operation_contract.0.key.auto.key | 2409 | 1047 | 41 | 6492 | 2729 | 1 | 2.6064947 | 30180
examples/./performance-test/AccessChain1(AccessChain1__foo_06()).JML_operation_contract.0.key.auto.key | 2917 | 1275 | 49 | 7280 | 3391 | 1 | 2.659608 | 33154
examples/./performance-test/AccessChain1(AccessChain1__foo_07()).JML_operation_contract.0.key.auto.key | 3441 | 1514 | 57 | 10208 | 5830 | 1 | 3.8507266 | 33797
examples/./performance-test/AccessChain1(AccessChain1__foo_08()).JML_operation_contract.0.key.auto.key | 3980 | 1763 | 65 | 16146 | 7651 | 1 | 4.3397617 | 34018
examples/./performance-test/AccessChain1(AccessChain1__foo_09()).JML_operation_contract.0.key.auto.key | 4534 | 2022 | 73 | 8667 | 4518 | 1 | 2.2344213 | 34429
examples/./performance-test/AccessChain1(AccessChain1__foo_10()).JML_operation_contract.0.key.auto.key | 5103 | 2291 | 81 | 9160 | 4988 | 1 | 2.177215 | 35230
examples/./performance-test/AccessChain1(AccessChain1__foo_20()).JML_operation_contract.0.key.auto.key | 11975 | 5888 | 161 | 17900 | 13813 | 1 | 2.345958 | 45632
examples/./performance-test/AccessChain2(AccessChain2__foo_01()).JML_operation_contract.0.key.auto.key | 570 | 258 | 12 | 4957 | 1072 | 1 | 4.155039 | 20780
examples/./performance-test/AccessChain2(AccessChain2__foo_02()).JML_operation_contract.0.key.auto.key | 1172 | 553 | 20 | 5985 | 1953 | 1 | 3.5316455 | 24031
examples/./performance-test/AccessChain2(AccessChain2__foo_03()).JML_operation_contract.0.key.auto.key | 1667 | 765 | 28 | 6512 | 2345 | 1 | 3.0653596 | 26650
examples/./performance-test/AccessChain2(AccessChain2__foo_04()).JML_operation_contract.0.key.auto.key | 2186 | 986 | 37 | 7054 | 3030 | 1 | 3.0730224 | 29458
examples/./performance-test/AccessChain2(AccessChain2__foo_05()).JML_operation_contract.0.key.auto.key | 2742 | 1238 | 46 | 7666 | 3492 | 1 | 2.8206785 | 32804
examples/./performance-test/AccessChain2(AccessChain2__foo_06()).JML_operation_contract.0.key.auto.key | 3317 | 1503 | 55 | 7607 | 3436 | 1 | 2.2860944 | 33886
examples/./performance-test/AccessChain2(AccessChain2__foo_07()).JML_operation_contract.0.key.auto.key | 3927 | 1796 | 64 | 8280 | 4280 | 1 | 2.3830736 | 34281
examples/./performance-test/AccessChain2(AccessChain2__foo_08()).JML_operation_contract.0.key.auto.key | 4519 | 2066 | 73 | 8915 | 4921 | 1 | 2.3818974 | 34942
examples/./performance-test/AccessChain2(AccessChain2__foo_09()).JML_operation_contract.0.key.auto.key | 5147 | 2366 | 82 | 9686 | 5659 | 1 | 2.3918004 | 35308
examples/./performance-test/AccessChain2(AccessChain2__foo_10()).JML_operation_contract.0.key.auto.key | 5817 | 2701 | 91 | 11186 | 6897 | 1 | 2.5534987 | 36600
examples/./performance-test/AccessChain2(AccessChain2__foo_20()).JML_operation_contract.0.key.auto.key | 13645 | 6859 | 181 | 23101 | 18771 | 1 | 2.7366962 | 49523
examples/./performance-test/AccessChain4(AccessChain4__foo_01()).JML_operation_contract.0.key.auto.key | 698 | 337 | 15 | 5459 | 1467 | 1 | 4.3531156 | 21894
examples/./performance-test/AccessChain4(AccessChain4__foo_02()).JML_operation_contract.0.key.auto.key | 1475 | 734 | 24 | 6188 | 2264 | 1 | 3.0844686 | 26396
examples/./performance-test/AccessChain4(AccessChain4__foo_03()).JML_operation_contract.0.key.auto.key | 2086 | 1005 | 34 | 6889 | 2837 | 1 | 2.8228855 | 30204
examples/./performance-test/AccessChain4(AccessChain4__foo_04()).JML_operation_contract.0.key.auto.key | 2736 | 1300 | 45 | 7976 | 3945 | 1 | 3.0346153 | 33129
examples/./performance-test/AccessChain4(AccessChain4__foo_05()).JML_operation_contract.0.key.auto.key | 3427 | 1627 | 56 | 8088 | 4133 | 1 | 2.5402582 | 34540
examples/./performance-test/AccessChain4(AccessChain4__foo_06()).JML_operation_contract.0.key.auto.key | 4113 | 1943 | 67 | 8620 | 4636 | 1 | 2.386001 | 34576
examples/./performance-test/AccessChain4(AccessChain4__foo_07()).JML_operation_contract.0.key.auto.key | 4862 | 2315 | 78 | 9499 | 5495 | 1 | 2.37365 | 35869
examples/./performance-test/AccessChain4(AccessChain4__foo_08()).JML_operation_contract.0.key.auto.key | 5618 | 2684 | 89 | 9949 | 5981 | 1 | 2.2283905 | 36803
examples/./performance-test/AccessChain4(AccessChain4__foo_09()).JML_operation_contract.0.key.auto.key | 6420 | 3091 | 100 | 10444 | 6566 | 1 | 2.1242316 | 37645
examples/./performance-test/AccessChain4(AccessChain4__foo_10()).JML_operation_contract.0.key.auto.key | 7262 | 3514 | 111 | 11858 | 7846 | 1 | 2.232783 | 38937
examples/./performance-test/AccessChain4(AccessChain4__foo_20()).JML_operation_contract.0.key.auto.key | 16933 | 8742 | 221 | 27824 | 23897 | 1 | 2.733585 | 55550
examples/./performance-test/Disjoint(Disjoint__disjoint_01()).JML_operation_contract.0.key.auto.key | 303 | 110 | 6 | 4745 | 619 | 1 | 5.6272726 | 18886
examples/./performance-test/Disjoint(Disjoint__disjoint_02()).JML_operation_contract.0.key.auto.key | 589 | 202 | 11 | 5450 | 1091 | 1 | 5.40099 | 19953
examples/./performance-test/Disjoint(Disjoint__disjoint_03()).JML_operation_contract.0.key.auto.key | 881 | 297 | 16 | 5353 | 1230 | 1 | 4.141414 | 21086
examples/./performance-test/Disjoint(Disjoint__disjoint_04()).JML_operation_contract.0.key.auto.key | 1179 | 395 | 21 | 5300 | 1378 | 1 | 3.4886076 | 22266
examples/./performance-test/Disjoint(Disjoint__disjoint_05()).JML_operation_contract.0.key.auto.key | 1483 | 496 | 26 | 5694 | 1710 | 1 | 3.4475806 | 23529
examples/./performance-test/Disjoint(Disjoint__disjoint_06()).JML_operation_contract.0.key.auto.key | 1793 | 600 | 31 | 5691 | 1828 | 1 | 3.0466666 | 24867
examples/./performance-test/Disjoint(Disjoint__disjoint_07()).JML_operation_contract.0.key.auto.key | 2109 | 707 | 36 | 6419 | 2317 | 1 | 3.2772276 | 26273
examples/./performance-test/Disjoint(Disjoint__disjoint_08()).JML_operation_contract.0.key.auto.key | 2431 | 817 | 41 | 6650 | 2695 | 1 | 3.2986536 | 27757
examples/./performance-test/Disjoint(Disjoint__disjoint_09()).JML_operation_contract.0.key.auto.key | 2759 | 930 | 46 | 6901 | 2958 | 1 | 3.1806452 | 29323
examples/./performance-test/Disjoint(Disjoint__disjoint_10()).JML_operation_contract.0.key.auto.key | 3093 | 1046 | 51 | 7158 | 3122 | 1 | 2.9847035 | 30980
examples/./performance-test/Disjoint(Disjoint__disjoint_20()).JML_operation_contract.0.key.auto.key | 7123 | 2731 | 101 | 13251 | 9182 | 1 | 3.3621385 | 37999
examples/./performance-test/Disjoint(Disjoint__disjoint2_01()).JML_operation_contract.0.key.auto.key | 313 | 108 | 6 | 4795 | 677 | 1 | 6.2685184 | 18920
examples/./performance-test/Disjoint(Disjoint__disjoint2_02()).JML_operation_contract.0.key.auto.key | 376 | 131 | 6 | 4628 | 750 | 1 | 5.7251906 | 19329
examples/./performance-test/Disjoint(Disjoint__disjoint2_03()).JML_operation_contract.0.key.auto.key | 439 | 154 | 6 | 4873 | 925 | 1 | 6.0064936 | 19791
examples/./performance-test/Disjoint(Disjoint__disjoint2_04()).JML_operation_contract.0.key.auto.key | 504 | 179 | 6 | 4663 | 944 | 1 | 5.273743 | 20855
examples/./performance-test/Disjoint(Disjoint__disjoint2_05()).JML_operation_contract.0.key.auto.key | 571 | 206 | 6 | 5458 | 1447 | 1 | 7.024272 | 20968
examples/./performance-test/Disjoint(Disjoint__disjoint2_06()).JML_operation_contract.0.key.auto.key | 640 | 235 | 6 | 5579 | 1623 | 1 | 6.906383 | 21665
examples/./performance-test/Disjoint(Disjoint__disjoint2_07()).JML_operation_contract.0.key.auto.key | 711 | 266 | 6 | 5878 | 1963 | 1 | 7.379699 | 22509
examples/./performance-test/Disjoint(Disjoint__disjoint2_08()).JML_operation_contract.0.key.auto.key | 784 | 299 | 6 | 6296 | 2468 | 1 | 8.254181 | 23418
examples/./performance-test/Disjoint(Disjoint__disjoint2_09()).JML_operation_contract.0.key.auto.key | 891 | 366 | 7 | 6412 | 2395 | 1 | 6.543716 | 24698
examples/./performance-test/Disjoint(Disjoint__disjoint2_10()).JML_operation_contract.0.key.auto.key | 1024 | 459 | 6 | 7790 | 3846 | 1 | 8.379085 | 27029
examples/./performance-test/Disjoint(Disjoint__disjoint2_20()).JML_operation_contract.0.key.auto.key | 2016 | 1051 | 6 | 19285 | 15469 | 1 | 14.718364 | 37853
examples/./performance-test/Disjoint(Disjoint__xZero_01()).JML_operation_contract.0.key.auto.key | 291 | 100 | 6 | 4482 | 587 | 1 | 5.87 | 18895
examples/./performance-test/Disjoint(Disjoint__xZero_02()).JML_operation_contract.0.key.auto.key | 562 | 186 | 11 | 4810 | 791 | 1 | 4.2526884 | 19939
examples/./performance-test/Disjoint(Disjoint__xZero_03()).JML_operation_contract.0.key.auto.key | 839 | 275 | 16 | 4962 | 1014 | 1 | 3.6872728 | 21062
examples/./performance-test/Disjoint(Disjoint__xZero_04()).JML_operation_contract.0.key.auto.key | 1122 | 367 | 21 | 5048 | 1190 | 1 | 3.2425067 | 22211
examples/./performance-test/Disjoint(Disjoint__xZero_05()).JML_operation_contract.0.key.auto.key | 1411 | 462 | 26 | 5738 | 1527 | 1 | 3.3051949 | 23473
examples/./performance-test/Disjoint(Disjoint__xZero_06()).JML_operation_contract.0.key.auto.key | 1706 | 560 | 31 | 6261 | 1830 | 1 | 3.267857 | 24787
examples/./performance-test/Disjoint(Disjoint__xZero_07()).JML_operation_contract.0.key.auto.key | 2007 | 661 | 36 | 6109 | 2037 | 1 | 3.0816944 | 26204
examples/./performance-test/Disjoint(Disjoint__xZero_08()).JML_operation_contract.0.key.auto.key | 2314 | 765 | 41 | 5962 | 2039 | 1 | 2.6653595 | 27689
examples/./performance-test/Disjoint(Disjoint__xZero_09()).JML_operation_contract.0.key.auto.key | 2627 | 872 | 46 | 6357 | 2384 | 1 | 2.733945 | 29249
examples/./performance-test/Disjoint(Disjoint__xZero_10()).JML_operation_contract.0.key.auto.key | 2946 | 982 | 51 | 6873 | 2729 | 1 | 2.7790225 | 30897
examples/./performance-test/Disjoint(Disjoint__xZero_20()).JML_operation_contract.0.key.auto.key | 6824 | 2605 | 101 | 11241 | 6963 | 1 | 2.6729367 | 36702
examples/./performance-test/Dynamic2(Dynamic2__foo_01()).JML_operation_contract.0.key.auto.key | 880 | 410 | 15 | 5878 | 1668 | 1 | 4.0682926 | 22023
examples/./performance-test/Dynamic2(Dynamic2__foo_02()).JML_operation_contract.0.key.auto.key | 2701 | 1649 | 41 | 8751 | 4583 | 1 | 2.7792602 | 31710
examples/./performance-test/Dynamic2(Dynamic2__foo_03()).JML_operation_contract.0.key.auto.key | 7819 | 5539 | 115 | 14685 | 10602 | 1 | 1.9140639 | 36824
examples/./performance-test/Dynamic2(Dynamic2__foo_04()).JML_operation_contract.0.key.auto.key | 17748 | 14033 | 192 | 22609 | 18773 | 1 | 1.3377752 | 51909
examples/./performance-test/Dynamic2(Dynamic2__foo_05()).JML_operation_contract.0.key.auto.key | 50375 | 42609 | 571 | 52167 | 48145 | 1 | 1.1299256 | 94108
examples/./performance-test/Dynamic2(Dynamic2__foo_06()).JML_operation_contract.0.key.auto.key | 28075 | 19957 | 169 | 33205 | 29204 | 1 | 1.4633462 | 63797
examples/./performance-test/Dynamic(Dynamic__foo_01()).JML_operation_contract.0.key.auto.key | 563 | 209 | 10 | 4849 | 867 | 1 | 4.1483254 | 20015
examples/./performance-test/Dynamic(Dynamic__foo_02()).JML_operation_contract.0.key.auto.key | 1174 | 475 | 20 | 5624 | 1660 | 1 | 3.494737 | 22606
examples/./performance-test/Dynamic(Dynamic__foo_03()).JML_operation_contract.0.key.auto.key | 2025 | 926 | 32 | 6933 | 2898 | 1 | 3.1295896 | 26471
examples/./performance-test/Dynamic(Dynamic__foo_04()).JML_operation_contract.0.key.auto.key | 3419 | 1801 | 48 | 8282 | 4242 | 1 | 2.3553581 | 32408
examples/./performance-test/Dynamic(Dynamic__foo_05()).JML_operation_contract.0.key.auto.key | 5475 | 3127 | 72 | 10454 | 6283 | 1 | 2.009274 | 33557
examples/./performance-test/Dynamic(Dynamic__foo_06()).JML_operation_contract.0.key.auto.key | 7958 | 4917 | 81 | 12379 | 8359 | 1 | 1.7000203 | 36916
examples/./performance-test/Dynamic(Dynamic__foo_07()).JML_operation_contract.0.key.auto.key | 14612 | 9865 | 120 | 16516 | 12451 | 1 | 1.2621388 | 45646
examples/./performance-test/Dynamic(Dynamic__foo_08()).JML_operation_contract.0.key.auto.key | 10296 | 6118 | 98 | 14619 | 10593 | 1 | 1.7314482 | 41736
examples/./performance-test/Dynamic(Dynamic__foo_09()).JML_operation_contract.0.key.auto.key | 8390 | 4327 | 80 | 13953 | 9997 | 1 | 2.3103766 | 38430
examples/./performance-test/Dynamic(Dynamic__foo_10()).JML_operation_contract.0.key.auto.key | 8316 | 4111 | 84 | 14038 | 9932 | 1 | 2.4159572 | 39081
examples/./performance-test/Dynamic(Dynamic__foo_20()).JML_operation_contract.0.key.auto.key | 30221 | 17263 | 176 | 57238 | 53038 | 1 | 3.0723512 | 79771
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_01()).JML_normal_behavior_operation_contract.0.key.auto.key | 551 | 226 | 7 | 5084 | 1034 | 1 | 4.575221 | 20640
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_02()).JML_normal_behavior_operation_contract.0.key.auto.key | 1084 | 459 | 14 | 6034 | 1571 | 1 | 3.422658 | 23117
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_03()).JML_normal_behavior_operation_contract.0.key.auto.key | 1847 | 821 | 22 | 6621 | 2569 | 1 | 3.1291108 | 26787
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_04()).JML_normal_behavior_operation_contract.0.key.auto.key | 2955 | 1402 | 31 | 7789 | 3828 | 1 | 2.730385 | 30997
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_05()).JML_normal_behavior_operation_contract.0.key.auto.key | 4405 | 2171 | 41 | 9040 | 4841 | 1 | 2.229848 | 32165
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_06()).JML_normal_behavior_operation_contract.0.key.auto.key | 6242 | 3203 | 52 | 9516 | 5297 | 1 | 1.6537621 | 34143
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_07()).JML_normal_behavior_operation_contract.0.key.auto.key | 8925 | 4687 | 64 | 12262 | 8100 | 1 | 1.7281843 | 37706
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_08()).JML_normal_behavior_operation_contract.0.key.auto.key | 12104 | 6501 | 77 | 14101 | 9926 | 1 | 1.526842 | 41715
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_09()).JML_normal_behavior_operation_contract.0.key.auto.key | 15719 | 8611 | 91 | 16426 | 12234 | 1 | 1.420741 | 46507
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_10()).JML_normal_behavior_operation_contract.0.key.auto.key | 20596 | 11417 | 106 | 18499 | 14386 | 1 | 1.2600508 | 53104
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_20()).JML_normal_behavior_operation_contract.0.key.auto.key | 74511 | 42931 | 223 | 129441 | 125357 | 1 | 2.9199646 | 148383
examples/./performance-test/GhostFrame(GhostFrame__foo_01()).JML_operation_contract.0.key.auto.key | 493 | 201 | 9 | 5719 | 1039 | 1 | 5.169154 | 19864
examples/./performance-test/GhostFrame(GhostFrame__foo_02()).JML_operation_contract.0.key.auto.key | 916 | 362 | 17 | 6134 | 1522 | 1 | 4.20442 | 21692
examples/./performance-test/GhostFrame(GhostFrame__foo_03()).JML_operation_contract.0.key.auto.key | 1351 | 532 | 25 | 6907 | 2110 | 1 | 3.9661653 | 23687
examples/./performance-test/GhostFrame(GhostFrame__foo_04()).JML_operation_contract.0.key.auto.key | 1799 | 710 | 33 | 7403 | 2713 | 1 | 3.8211267 | 25858
examples/./performance-test/GhostFrame(GhostFrame__foo_05()).JML_operation_contract.0.key.auto.key | 2260 | 898 | 41 | 7833 | 3378 | 1 | 3.7616928 | 28232
examples/./performance-test/GhostFrame(GhostFrame__foo_06()).JML_operation_contract.0.key.auto.key | 2733 | 1094 | 49 | 8421 | 3734 | 1 | 3.4131627 | 30761
examples/./performance-test/GhostFrame(GhostFrame__foo_07()).JML_operation_contract.0.key.auto.key | 3218 | 1298 | 57 | 8981 | 4467 | 1 | 3.4414485 | 33466
examples/./performance-test/GhostFrame(GhostFrame__foo_08()).JML_operation_contract.0.key.auto.key | 3714 | 1509 | 65 | 9755 | 4943 | 1 | 3.2756793 | 34825
examples/./performance-test/GhostFrame(GhostFrame__foo_09()).JML_operation_contract.0.key.auto.key | 4223 | 1729 | 73 | 9799 | 5522 | 1 | 3.1937537 | 34883
examples/./performance-test/GhostFrame(GhostFrame__foo_10()).JML_operation_contract.0.key.auto.key | 4743 | 1956 | 81 | 9709 | 5347 | 1 | 2.7336402 | 35333
examples/./performance-test/GhostFrame(GhostFrame__foo_20()).JML_operation_contract.0.key.auto.key | 10969 | 5032 | 161 | 26782 | 22548 | 1 | 4.480922 | 45309
examples/./performance-test/Inc2(Inc2__foo_01()).JML_operation_contract.0.key.auto.key | 344 | 165 | 7 | 5331 | 856 | 1 | 5.1878786 | 19865
examples/./performance-test/Inc2(Inc2__foo_02()).JML_operation_contract.0.key.auto.key | 622 | 291 | 13 | 5379 | 1034 | 1 | 3.5532646 | 21247
examples/./performance-test/Inc2(Inc2__foo_03()).JML_operation_contract.0.key.auto.key | 902 | 419 | 19 | 5445 | 1390 | 1 | 3.3174224 | 23054
examples/./performance-test/Inc2(Inc2__foo_04()).JML_operation_contract.0.key.auto.key | 1182 | 547 | 25 | 5711 | 1769 | 1 | 3.2340035 | 24882
examples/./performance-test/Inc2(Inc2__foo_05()).JML_operation_contract.0.key.auto.key | 1462 | 675 | 31 | 6153 | 2025 | 1 | 3.0 | 26699
examples/./performance-test/Inc2(Inc2__foo_06()).JML_operation_contract.0.key.auto.key | 1742 | 803 | 37 | 6241 | 2204 | 1 | 2.7447073 | 28528
examples/./performance-test/Inc2(Inc2__foo_07()).JML_operation_contract.0.key.auto.key | 2022 | 931 | 43 | 6582 | 2552 | 1 | 2.7411385 | 30364
examples/./performance-test/Inc2(Inc2__foo_08()).JML_operation_contract.0.key.auto.key | 2302 | 1059 | 49 | 6750 | 2636 | 1 | 2.4891407 | 32188
examples/./performance-test/Inc2(Inc2__foo_09()).JML_operation_contract.0.key.auto.key | 2582 | 1187 | 55 | 6660 | 2721 | 1 | 2.2923336 | 34003
examples/./performance-test/Inc2(Inc2__foo_10()).JML_operation_contract.0.key.auto.key | 2862 | 1315 | 61 | 6807 | 2951 | 1 | 2.2441065 | 35832
examples/./performance-test/Inc2(Inc2__foo_20()).JML_operation_contract.0.key.auto.key | 5662 | 2595 | 121 | 8699 | 4621 | 1 | 1.7807322 | 52753
examples/./performance-test/Inc2(Inc2__foo_40()).JML_operation_contract.0.key.auto.key | 11262 | 5155 | 241 | 12839 | 8822 | 1 | 1.7113482 | 56633
examples/./performance-test/Inc(Inc__foo_01()).JML_operation_contract.0.key.auto.key | 217 | 107 | 4 | 5753 | 681 | 1 | 6.364486 | 18781
examples/./performance-test/Inc(Inc__foo_02()).JML_operation_contract.0.key.auto.key | 354 | 168 | 7 | 4988 | 824 | 1 | 4.904762 | 19519
examples/./performance-test/Inc(Inc__foo_03()).JML_operation_contract.0.key.auto.key | 493 | 231 | 10 | 5262 | 972 | 1 | 4.2077923 | 20274
examples/./performance-test/Inc(Inc__foo_04()).JML_operation_contract.0.key.auto.key | 632 | 294 | 13 | 6067 | 1463 | 1 | 4.9761906 | 21016
examples/./performance-test/Inc(Inc__foo_05()).JML_operation_contract.0.key.auto.key | 771 | 357 | 16 | 6009 | 1307 | 1 | 3.6610644 | 21763
examples/./performance-test/Inc(Inc__foo_06()).JML_operation_contract.0.key.auto.key | 910 | 420 | 19 | 5517 | 1381 | 1 | 3.2880952 | 22505
examples/./performance-test/Inc(Inc__foo_07()).JML_operation_contract.0.key.auto.key | 1049 | 483 | 22 | 5822 | 1600 | 1 | 3.3126295 | 23262
examples/./performance-test/Inc(Inc__foo_08()).JML_operation_contract.0.key.auto.key | 1188 | 546 | 25 | 6350 | 2103 | 1 | 3.8516483 | 24012
examples/./performance-test/Inc(Inc__foo_09()).JML_operation_contract.0.key.auto.key | 1327 | 609 | 28 | 5875 | 1853 | 1 | 3.042693 | 24762
examples/./performance-test/Inc(Inc__foo_10()).JML_operation_contract.0.key.auto.key | 1466 | 672 | 31 | 6363 | 2130 | 1 | 3.169643 | 25510
examples/./performance-test/Inc(Inc__foo_20()).JML_operation_contract.0.key.auto.key | 2856 | 1302 | 61 | 6775 | 2826 | 1 | 2.170507 | 33181
examples/./performance-test/Modelfield(Modelfield__foo_01()).JML_operation_contract.0.key.auto.key | 479 | 202 | 10 | 5294 | 840 | 1 | 4.158416 | 19799
examples/./performance-test/Modelfield(Modelfield__foo_02()).JML_operation_contract.0.key.auto.key | 965 | 427 | 20 | 5675 | 1575 | 1 | 3.6885245 | 21941
examples/./performance-test/Modelfield(Modelfield__foo_03()).JML_operation_contract.0.key.auto.key | 1626 | 785 | 32 | 6393 | 2369 | 1 | 3.0178344 | 25048
examples/./performance-test/Modelfield(Modelfield__foo_04()).JML_operation_contract.0.key.auto.key | 2680 | 1442 | 48 | 7837 | 3467 | 1 | 2.4042995 | 30178
examples/./performance-test/Modelfield(Modelfield__foo_05()).JML_operation_contract.0.key.auto.key | 4124 | 2327 | 72 | 9042 | 5019 | 1 | 2.1568544 | 31257
examples/./performance-test/Modelfield(Modelfield__foo_06()).JML_operation_contract.0.key.auto.key | 5929 | 3639 | 82 | 10888 | 6439 | 1 | 1.7694422 | 33858
examples/./performance-test/Modelfield(Modelfield__foo_07()).JML_operation_contract.0.key.auto.key | 10780 | 7195 | 120 | 14351 | 9801 | 1 | 1.362196 | 39658
examples/./performance-test/Modelfield(Modelfield__foo_08()).JML_operation_contract.0.key.auto.key | 21235 | 15012 | 192 | 21024 | 16370 | 1 | 1.090461 | 52183
examples/./performance-test/Modelfield(Modelfield__foo_09()).JML_operation_contract.0.key.auto.key | 8861 | 5188 | 120 | 14021 | 9143 | 1 | 1.7623361 | 39206
examples/./performance-test/Modelfield(Modelfield__foo_10()).JML_operation_contract.0.key.auto.key | 7648 | 4024 | 89 | 10736 | 6829 | 1 | 1.6970676 | 37122
examples/./performance-test/Modelfield(Modelfield__foo_20()).JML_operation_contract.0.key.auto.key | 45037 | 24768 | 167 | 37334 | 33434 | 1 | 1.3498869 | 94402
--- SUM --- | 1195136 | 747512 | 11829 | 2559079 | 1914474 | 156 | 2.56112811566905 | 37525.2165605096

# git commit 2d28ba0c460e0fe89e72519647314d6771590b0d

